gauntlet: agent@engine vs agent@checkpoints/v1 | SPRT elo0=0.0 elo1=8.0 alpha=0.025 beta=0.025 max_games=1500 | 10000ms+100ms | 3 workers
   1 games  +0 =1 -0   -0 Elo +/- 0   128s      mean=0.500 LLR=+0.00 [CONTINUE]
 757 games  +99 =564 -94   +2 Elo +/- 13   7078s      mean=0.503 LLR=-0.34 [CONTINUE]
 758 games  +99 =565 -94   +2 Elo +/- 12   7086s      mean=0.503 LLR=-0.34 [CONTINUE]
 759 games  +99 =566 -94   +2 Elo +/- 12   7087s      mean=0.503 LLR=-0.34 [CONTINUE]
 760 games  +100 =566 -94   +3 Elo +/- 12   7110s      mean=0.504 LLR=-0.25 [CONTINUE]
 761 games  +100 =567 -94   +3 Elo +/- 12   7113s      mean=0.504 LLR=-0.25 [CONTINUE]
 762 games  +100 =567 -95   +2 Elo +/- 12   7113s      mean=0.503 LLR=-0.34 [CONTINUE]
 763 games  +100 =568 -95   +2 Elo +/- 12   7139s      mean=0.503 LLR=-0.34 [CONTINUE]
 764 games  +100 =569 -95   +2 Elo +/- 12   7142s      mean=0.503 LLR=-0.34 [CONTINUE]
 765 games  +100 =569 -96   +2 Elo +/- 12   7145s      mean=0.503 LLR=-0.43 [CONTINUE]
 766 games  +100 =570 -96   +2 Elo +/- 12   7166s      mean=0.503 LLR=-0.43 [CONTINUE]
 767 games  +100 =571 -96   +2 Elo +/- 12   7167s      mean=0.503 LLR=-0.44 [CONTINUE]
 768 games  +100 =572 -96   +2 Elo +/- 12   7177s      mean=0.503 LLR=-0.44 [CONTINUE]
 769 games  +100 =573 -96   +2 Elo +/- 12   7190s      mean=0.503 LLR=-0.44 [CONTINUE]
 770 games  +100 =574 -96   +2 Elo +/- 12   7191s      mean=0.503 LLR=-0.44 [CONTINUE]
 771 games  +100 =575 -96   +2 Elo +/- 12   7202s      mean=0.503 LLR=-0.44 [CONTINUE]
 772 games  +100 =576 -96   +2 Elo +/- 12   7218s      mean=0.503 LLR=-0.44 [CONTINUE]
 773 games  +101 =576 -96   +2 Elo +/- 12   7223s      mean=0.503 LLR=-0.35 [CONTINUE]
 774 games  +101 =577 -96   +2 Elo +/- 12   7231s      mean=0.503 LLR=-0.35 [CONTINUE]
 775 games  +101 =578 -96   +2 Elo +/- 12   7247s      mean=0.503 LLR=-0.36 [CONTINUE]
 776 games  +101 =579 -96   +2 Elo +/- 12   7248s      mean=0.503 LLR=-0.36 [CONTINUE]
 777 games  +101 =580 -96   +2 Elo +/- 12   7254s      mean=0.503 LLR=-0.36 [CONTINUE]
 778 games  +101 =581 -96   +2 Elo +/- 12   7273s      mean=0.503 LLR=-0.36 [CONTINUE]
 779 games  +101 =582 -96   +2 Elo +/- 12   7277s      mean=0.503 LLR=-0.36 [CONTINUE]
 780 games  +101 =583 -96   +2 Elo +/- 12   7279s      mean=0.503 LLR=-0.36 [CONTINUE]
 781 games  +101 =584 -96   +2 Elo +/- 12   7297s      mean=0.503 LLR=-0.36 [CONTINUE]
 782 games  +101 =585 -96   +2 Elo +/- 12   7304s      mean=0.503 LLR=-0.37 [CONTINUE]
 783 games  +101 =586 -96   +2 Elo +/- 12   7308s      mean=0.503 LLR=-0.37 [CONTINUE]
 784 games  +101 =587 -96   +2 Elo +/- 12   7328s      mean=0.503 LLR=-0.37 [CONTINUE]
 785 games  +101 =588 -96   +2 Elo +/- 12   7335s      mean=0.503 LLR=-0.37 [CONTINUE]
 786 games  +101 =588 -97   +2 Elo +/- 12   7337s      mean=0.503 LLR=-0.46 [CONTINUE]
 787 games  +101 =588 -98   +1 Elo +/- 12   7356s      mean=0.502 LLR=-0.55 [CONTINUE]
 788 games  +101 =589 -98   +1 Elo +/- 12   7359s      mean=0.502 LLR=-0.55 [CONTINUE]
 789 games  +101 =590 -98   +1 Elo +/- 12   7366s      mean=0.502 LLR=-0.56 [CONTINUE]
 790 games  +101 =591 -98   +1 Elo +/- 12   7384s      mean=0.502 LLR=-0.56 [CONTINUE]
 791 games  +101 =592 -98   +1 Elo +/- 12   7387s      mean=0.502 LLR=-0.56 [CONTINUE]
 792 games  +101 =593 -98   +1 Elo +/- 12   7394s      mean=0.502 LLR=-0.56 [CONTINUE]
 793 games  +101 =594 -98   +1 Elo +/- 12   7410s      mean=0.502 LLR=-0.56 [CONTINUE]
 794 games  +101 =595 -98   +1 Elo +/- 12   7411s      mean=0.502 LLR=-0.56 [CONTINUE]
 795 games  +101 =596 -98   +1 Elo +/- 12   7420s      mean=0.502 LLR=-0.57 [CONTINUE]
 796 games  +101 =597 -98   +1 Elo +/- 12   7439s      mean=0.502 LLR=-0.57 [CONTINUE]
 797 games  +101 =598 -98   +1 Elo +/- 12   7442s      mean=0.502 LLR=-0.57 [CONTINUE]
 798 games  +101 =599 -98   +1 Elo +/- 12   7450s      mean=0.502 LLR=-0.57 [CONTINUE]
 799 games  +101 =599 -99   +1 Elo +/- 12   7468s      mean=0.501 LLR=-0.66 [CONTINUE]
 800 games  +101 =600 -99   +1 Elo +/- 12   7469s      mean=0.501 LLR=-0.66 [CONTINUE]
 801 games  +101 =601 -99   +1 Elo +/- 12   7480s      mean=0.501 LLR=-0.67 [CONTINUE]
 802 games  +101 =602 -99   +1 Elo +/- 12   7497s      mean=0.501 LLR=-0.67 [CONTINUE]
 803 games  +101 =603 -99   +1 Elo +/- 12   7500s      mean=0.501 LLR=-0.67 [CONTINUE]
 804 games  +101 =603 -100   +0 Elo +/- 12   7512s      mean=0.501 LLR=-0.76 [CONTINUE]
 805 games  +101 =604 -100   +0 Elo +/- 12   7525s      mean=0.501 LLR=-0.76 [CONTINUE]
 806 games  +101 =605 -100   +0 Elo +/- 12   7526s      mean=0.501 LLR=-0.76 [CONTINUE]
 807 games  +101 =606 -100   +0 Elo +/- 12   7537s      mean=0.501 LLR=-0.77 [CONTINUE]
 808 games  +101 =607 -100   +0 Elo +/- 12   7551s      mean=0.501 LLR=-0.77 [CONTINUE]
 809 games  +101 =608 -100   +0 Elo +/- 12   7552s      mean=0.501 LLR=-0.77 [CONTINUE]
 810 games  +101 =609 -100   +0 Elo +/- 12   7563s      mean=0.501 LLR=-0.77 [CONTINUE]
 811 games  +101 =610 -100   +0 Elo +/- 12   7580s      mean=0.501 LLR=-0.77 [CONTINUE]
 812 games  +101 =610 -101   -0 Elo +/- 12   7580s      mean=0.500 LLR=-0.86 [CONTINUE]
 813 games  +101 =611 -101   -0 Elo +/- 12   7592s      mean=0.500 LLR=-0.87 [CONTINUE]
 814 games  +101 =612 -101   -0 Elo +/- 12   7605s      mean=0.500 LLR=-0.87 [CONTINUE]
 815 games  +101 =613 -101   -0 Elo +/- 12   7611s      mean=0.500 LLR=-0.87 [CONTINUE]
 816 games  +102 =613 -101   +0 Elo +/- 12   7624s      mean=0.501 LLR=-0.78 [CONTINUE]
 817 games  +102 =614 -101   +0 Elo +/- 12   7637s      mean=0.501 LLR=-0.78 [CONTINUE]
 818 games  +102 =614 -102   -0 Elo +/- 12   7640s      mean=0.500 LLR=-0.87 [CONTINUE]
 819 games  +102 =615 -102   -0 Elo +/- 12   7653s      mean=0.500 LLR=-0.87 [CONTINUE]
 820 games  +103 =615 -102   +0 Elo +/- 12   7667s      mean=0.501 LLR=-0.78 [CONTINUE]
 821 games  +103 =615 -103   -0 Elo +/- 12   7668s      mean=0.500 LLR=-0.87 [CONTINUE]
 822 games  +103 =616 -103   -0 Elo +/- 12   7679s      mean=0.500 LLR=-0.87 [CONTINUE]
 823 games  +103 =617 -103   -0 Elo +/- 12   7692s      mean=0.500 LLR=-0.87 [CONTINUE]
 824 games  +103 =618 -103   -0 Elo +/- 12   7698s      mean=0.500 LLR=-0.87 [CONTINUE]
 825 games  +103 =619 -103   -0 Elo +/- 12   7702s      mean=0.500 LLR=-0.88 [CONTINUE]
 826 games  +103 =620 -103   -0 Elo +/- 12   7718s      mean=0.500 LLR=-0.88 [CONTINUE]
 827 games  +103 =621 -103   -0 Elo +/- 12   7723s      mean=0.500 LLR=-0.88 [CONTINUE]
 828 games  +103 =622 -103   -0 Elo +/- 12   7730s      mean=0.500 LLR=-0.88 [CONTINUE]
 829 games  +103 =623 -103   -0 Elo +/- 12   7743s      mean=0.500 LLR=-0.88 [CONTINUE]
 830 games  +103 =623 -104   -0 Elo +/- 12   7746s      mean=0.499 LLR=-0.97 [CONTINUE]
 831 games  +103 =624 -104   -0 Elo +/- 12   7760s      mean=0.499 LLR=-0.98 [CONTINUE]
 832 games  +103 =625 -104   -0 Elo +/- 12   7773s      mean=0.499 LLR=-0.98 [CONTINUE]
 833 games  +103 =626 -104   -0 Elo +/- 12   7777s      mean=0.499 LLR=-0.98 [CONTINUE]
 834 games  +103 =627 -104   -0 Elo +/- 12   7784s      mean=0.499 LLR=-0.98 [CONTINUE]
 835 games  +103 =628 -104   -0 Elo +/- 12   7799s      mean=0.499 LLR=-0.99 [CONTINUE]
 836 games  +103 =629 -104   -0 Elo +/- 12   7806s      mean=0.499 LLR=-0.99 [CONTINUE]
 837 games  +103 =629 -105   -1 Elo +/- 12   7818s      mean=0.499 LLR=-1.08 [CONTINUE]
 838 games  +103 =630 -105   -1 Elo +/- 12   7823s      mean=0.499 LLR=-1.08 [CONTINUE]
 839 games  +103 =631 -105   -1 Elo +/- 12   7835s      mean=0.499 LLR=-1.08 [CONTINUE]
 840 games  +103 =632 -105   -1 Elo +/- 12   7845s      mean=0.499 LLR=-1.08 [CONTINUE]
 841 games  +103 =633 -105   -1 Elo +/- 12   7849s      mean=0.499 LLR=-1.09 [CONTINUE]
 842 games  +103 =634 -105   -1 Elo +/- 12   7862s      mean=0.499 LLR=-1.09 [CONTINUE]
 843 games  +104 =634 -105   -0 Elo +/- 12   7875s      mean=0.499 LLR=-0.99 [CONTINUE]
 844 games  +104 =635 -105   -0 Elo +/- 12   7877s      mean=0.499 LLR=-1.00 [CONTINUE]
 845 games  +104 =636 -105   -0 Elo +/- 12   7893s      mean=0.499 LLR=-1.00 [CONTINUE]
 846 games  +104 =637 -105   -0 Elo +/- 12   7900s      mean=0.499 LLR=-1.00 [CONTINUE]
 847 games  +105 =637 -105   -0 Elo +/- 12   7902s      mean=0.500 LLR=-0.91 [CONTINUE]
 848 games  +106 =637 -105   +0 Elo +/- 12   7922s      mean=0.501 LLR=-0.81 [CONTINUE]
 849 games  +106 =637 -106   -0 Elo +/- 12   7924s      mean=0.500 LLR=-0.90 [CONTINUE]
 850 games  +106 =638 -106   -0 Elo +/- 12   7928s      mean=0.500 LLR=-0.90 [CONTINUE]
 851 games  +106 =639 -106   -0 Elo +/- 12   7951s      mean=0.500 LLR=-0.91 [CONTINUE]
 852 games  +107 =639 -106   +0 Elo +/- 12   7953s      mean=0.501 LLR=-0.81 [CONTINUE]
 853 games  +107 =640 -106   +0 Elo +/- 12   7961s      mean=0.501 LLR=-0.81 [CONTINUE]
 854 games  +107 =641 -106   +0 Elo +/- 12   7976s      mean=0.501 LLR=-0.82 [CONTINUE]
 855 games  +107 =642 -106   +0 Elo +/- 12   7981s      mean=0.501 LLR=-0.82 [CONTINUE]
 856 games  +107 =643 -106   +0 Elo +/- 12   7992s      mean=0.501 LLR=-0.82 [CONTINUE]
 857 games  +107 =644 -106   +0 Elo +/- 12   8002s      mean=0.501 LLR=-0.82 [CONTINUE]
 858 games  +107 =645 -106   +0 Elo +/- 12   8009s      mean=0.501 LLR=-0.82 [CONTINUE]
 859 games  +107 =646 -106   +0 Elo +/- 12   8022s      mean=0.501 LLR=-0.83 [CONTINUE]
 860 games  +107 =647 -106   +0 Elo +/- 12   8029s      mean=0.501 LLR=-0.83 [CONTINUE]
 861 games  +107 =648 -106   +0 Elo +/- 12   8032s      mean=0.501 LLR=-0.83 [CONTINUE]
 862 games  +107 =649 -106   +0 Elo +/- 12   8055s      mean=0.501 LLR=-0.83 [CONTINUE]
 863 games  +107 =650 -106   +0 Elo +/- 12   8058s      mean=0.501 LLR=-0.83 [CONTINUE]
 864 games  +107 =651 -106   +0 Elo +/- 12   8062s      mean=0.501 LLR=-0.84 [CONTINUE]
 865 games  +107 =652 -106   +0 Elo +/- 11   8081s      mean=0.501 LLR=-0.84 [CONTINUE]
 866 games  +107 =653 -106   +0 Elo +/- 11   8081s      mean=0.501 LLR=-0.84 [CONTINUE]
 867 games  +107 =654 -106   +0 Elo +/- 11   8094s      mean=0.501 LLR=-0.84 [CONTINUE]
 868 games  +108 =654 -106   +1 Elo +/- 11   8106s      mean=0.501 LLR=-0.75 [CONTINUE]
 869 games  +109 =654 -106   +1 Elo +/- 11   8109s      mean=0.502 LLR=-0.65 [CONTINUE]
 870 games  +109 =655 -106   +1 Elo +/- 11   8121s      mean=0.502 LLR=-0.65 [CONTINUE]
 871 games  +109 =656 -106   +1 Elo +/- 11   8133s      mean=0.502 LLR=-0.66 [CONTINUE]
 872 games  +109 =657 -106   +1 Elo +/- 11   8134s      mean=0.502 LLR=-0.66 [CONTINUE]
 873 games  +109 =658 -106   +1 Elo +/- 11   8151s      mean=0.502 LLR=-0.66 [CONTINUE]
 874 games  +109 =659 -106   +1 Elo +/- 11   8156s      mean=0.502 LLR=-0.66 [CONTINUE]
 875 games  +110 =659 -106   +2 Elo +/- 11   8167s      mean=0.502 LLR=-0.57 [CONTINUE]
 876 games  +110 =660 -106   +2 Elo +/- 11   8181s      mean=0.502 LLR=-0.57 [CONTINUE]
 877 games  +110 =661 -106   +2 Elo +/- 11   8185s      mean=0.502 LLR=-0.57 [CONTINUE]
 878 games  +110 =661 -107   +1 Elo +/- 11   8195s      mean=0.502 LLR=-0.66 [CONTINUE]
 879 games  +110 =662 -107   +1 Elo +/- 11   8206s      mean=0.502 LLR=-0.66 [CONTINUE]
 880 games  +110 =663 -107   +1 Elo +/- 11   8215s      mean=0.502 LLR=-0.67 [CONTINUE]
 881 games  +110 =664 -107   +1 Elo +/- 11   8223s      mean=0.502 LLR=-0.67 [CONTINUE]
 882 games  +110 =665 -107   +1 Elo +/- 11   8235s      mean=0.502 LLR=-0.67 [CONTINUE]
 883 games  +110 =665 -108   +1 Elo +/- 11   8246s      mean=0.501 LLR=-0.76 [CONTINUE]
 884 games  +110 =666 -108   +1 Elo +/- 11   8251s      mean=0.501 LLR=-0.76 [CONTINUE]
 885 games  +110 =667 -108   +1 Elo +/- 11   8264s      mean=0.501 LLR=-0.77 [CONTINUE]
 886 games  +110 =668 -108   +1 Elo +/- 11   8277s      mean=0.501 LLR=-0.77 [CONTINUE]
 887 games  +111 =668 -108   +1 Elo +/- 11   8279s      mean=0.502 LLR=-0.67 [CONTINUE]
 888 games  +112 =668 -108   +2 Elo +/- 11   8298s      mean=0.502 LLR=-0.58 [CONTINUE]
 889 games  +112 =669 -108   +2 Elo +/- 11   8304s      mean=0.502 LLR=-0.58 [CONTINUE]
 890 games  +112 =669 -109   +1 Elo +/- 11   8310s      mean=0.502 LLR=-0.67 [CONTINUE]
 891 games  +112 =670 -109   +1 Elo +/- 11   8324s      mean=0.502 LLR=-0.67 [CONTINUE]
 892 games  +112 =670 -110   +1 Elo +/- 11   8334s      mean=0.501 LLR=-0.76 [CONTINUE]
 893 games  +112 =670 -111   +0 Elo +/- 11   8342s      mean=0.501 LLR=-0.86 [CONTINUE]
 894 games  +112 =671 -111   +0 Elo +/- 11   8350s      mean=0.501 LLR=-0.86 [CONTINUE]
 895 games  +112 =672 -111   +0 Elo +/- 11   8363s      mean=0.501 LLR=-0.86 [CONTINUE]
 896 games  +112 =673 -111   +0 Elo +/- 11   8370s      mean=0.501 LLR=-0.86 [CONTINUE]
 897 games  +112 =674 -111   +0 Elo +/- 11   8381s      mean=0.501 LLR=-0.86 [CONTINUE]
 898 games  +112 =675 -111   +0 Elo +/- 11   8390s      mean=0.501 LLR=-0.87 [CONTINUE]
 899 games  +112 =676 -111   +0 Elo +/- 11   8397s      mean=0.501 LLR=-0.87 [CONTINUE]
 900 games  +112 =677 -111   +0 Elo +/- 11   8415s      mean=0.501 LLR=-0.87 [CONTINUE]
 901 games  +112 =677 -112   -0 Elo +/- 11   8417s      mean=0.500 LLR=-0.96 [CONTINUE]
 902 games  +112 =678 -112   -0 Elo +/- 11   8426s      mean=0.500 LLR=-0.96 [CONTINUE]
 903 games  +112 =679 -112   -0 Elo +/- 11   8445s      mean=0.500 LLR=-0.96 [CONTINUE]
 904 games  +112 =679 -113   -0 Elo +/- 11   8448s      mean=0.499 LLR=-1.06 [CONTINUE]
 905 games  +112 =680 -113   -0 Elo +/- 11   8451s      mean=0.499 LLR=-1.06 [CONTINUE]
 906 games  +112 =681 -113   -0 Elo +/- 11   8471s      mean=0.499 LLR=-1.06 [CONTINUE]
 907 games  +112 =682 -113   -0 Elo +/- 11   8478s      mean=0.499 LLR=-1.06 [CONTINUE]
 908 games  +112 =683 -113   -0 Elo +/- 11   8478s      mean=0.499 LLR=-1.06 [CONTINUE]
 909 games  +112 =684 -113   -0 Elo +/- 11   8494s      mean=0.499 LLR=-1.07 [CONTINUE]
 910 games  +112 =685 -113   -0 Elo +/- 11   8507s      mean=0.499 LLR=-1.07 [CONTINUE]
 911 games  +112 =686 -113   -0 Elo +/- 11   8509s      mean=0.499 LLR=-1.07 [CONTINUE]
 912 games  +112 =687 -113   -0 Elo +/- 11   8520s      mean=0.499 LLR=-1.07 [CONTINUE]
 913 games  +112 =688 -113   -0 Elo +/- 11   8529s      mean=0.499 LLR=-1.08 [CONTINUE]
 914 games  +112 =689 -113   -0 Elo +/- 11   8531s      mean=0.499 LLR=-1.08 [CONTINUE]
 915 games  +112 =690 -113   -0 Elo +/- 11   8547s      mean=0.499 LLR=-1.08 [CONTINUE]
 916 games  +112 =691 -113   -0 Elo +/- 11   8556s      mean=0.499 LLR=-1.08 [CONTINUE]
 917 games  +112 =692 -113   -0 Elo +/- 11   8558s      mean=0.499 LLR=-1.08 [CONTINUE]
 918 games  +112 =693 -113   -0 Elo +/- 11   8571s      mean=0.499 LLR=-1.09 [CONTINUE]
 919 games  +112 =694 -113   -0 Elo +/- 11   8584s      mean=0.499 LLR=-1.09 [CONTINUE]
 920 games  +112 =695 -113   -0 Elo +/- 11   8585s      mean=0.499 LLR=-1.09 [CONTINUE]
 921 games  +112 =696 -113   -0 Elo +/- 11   8603s      mean=0.499 LLR=-1.09 [CONTINUE]
 922 games  +113 =696 -113   -0 Elo +/- 11   8616s      mean=0.500 LLR=-1.00 [CONTINUE]
 923 games  +113 =697 -113   -0 Elo +/- 11   8619s      mean=0.500 LLR=-1.00 [CONTINUE]
 924 games  +113 =698 -113   -0 Elo +/- 11   8627s      mean=0.500 LLR=-1.00 [CONTINUE]
 925 games  +113 =699 -113   -0 Elo +/- 11   8641s      mean=0.500 LLR=-1.00 [CONTINUE]
 926 games  +113 =700 -113   -0 Elo +/- 11   8648s      mean=0.500 LLR=-1.01 [CONTINUE]
 927 games  +113 =701 -113   -0 Elo +/- 11   8652s      mean=0.500 LLR=-1.01 [CONTINUE]
 928 games  +113 =702 -113   -0 Elo +/- 11   8664s      mean=0.500 LLR=-1.01 [CONTINUE]
 929 games  +113 =703 -113   -0 Elo +/- 11   8676s      mean=0.500 LLR=-1.01 [CONTINUE]
 930 games  +113 =703 -114   -0 Elo +/- 11   8683s      mean=0.499 LLR=-1.10 [CONTINUE]
 931 games  +113 =704 -114   -0 Elo +/- 11   8689s      mean=0.499 LLR=-1.11 [CONTINUE]
 932 games  +113 =705 -114   -0 Elo +/- 11   8703s      mean=0.499 LLR=-1.11 [CONTINUE]
 933 games  +113 =706 -114   -0 Elo +/- 11   8708s      mean=0.499 LLR=-1.11 [CONTINUE]
 934 games  +113 =707 -114   -0 Elo +/- 11   8716s      mean=0.499 LLR=-1.11 [CONTINUE]
 935 games  +113 =708 -114   -0 Elo +/- 11   8735s      mean=0.499 LLR=-1.12 [CONTINUE]
 936 games  +113 =709 -114   -0 Elo +/- 11   8736s      mean=0.499 LLR=-1.12 [CONTINUE]
 937 games  +114 =709 -114   -0 Elo +/- 11   8742s      mean=0.500 LLR=-1.02 [CONTINUE]
 938 games  +114 =710 -114   -0 Elo +/- 11   8758s      mean=0.500 LLR=-1.02 [CONTINUE]
 939 games  +114 =711 -114   -0 Elo +/- 11   8762s      mean=0.500 LLR=-1.02 [CONTINUE]
 940 games  +115 =711 -114   +0 Elo +/- 11   8772s      mean=0.501 LLR=-0.93 [CONTINUE]
 941 games  +115 =712 -114   +0 Elo +/- 11   8784s      mean=0.501 LLR=-0.93 [CONTINUE]
 942 games  +115 =713 -114   +0 Elo +/- 11   8786s      mean=0.501 LLR=-0.93 [CONTINUE]
 943 games  +115 =714 -114   +0 Elo +/- 11   8799s      mean=0.501 LLR=-0.93 [CONTINUE]
 944 games  +115 =715 -114   +0 Elo +/- 11   8811s      mean=0.501 LLR=-0.94 [CONTINUE]
 945 games  +115 =716 -114   +0 Elo +/- 11   8818s      mean=0.501 LLR=-0.94 [CONTINUE]
 946 games  +115 =717 -114   +0 Elo +/- 11   8825s      mean=0.501 LLR=-0.94 [CONTINUE]
 947 games  +115 =718 -114   +0 Elo +/- 11   8837s      mean=0.501 LLR=-0.94 [CONTINUE]
 948 games  +115 =719 -114   +0 Elo +/- 11   8846s      mean=0.501 LLR=-0.94 [CONTINUE]
 949 games  +115 =720 -114   +0 Elo +/- 11   8850s      mean=0.501 LLR=-0.95 [CONTINUE]
 950 games  +115 =721 -114   +0 Elo +/- 11   8866s      mean=0.501 LLR=-0.95 [CONTINUE]
 951 games  +115 =722 -114   +0 Elo +/- 11   8874s      mean=0.501 LLR=-0.95 [CONTINUE]
 952 games  +115 =723 -114   +0 Elo +/- 11   8875s      mean=0.501 LLR=-0.95 [CONTINUE]
 953 games  +115 =724 -114   +0 Elo +/- 11   8893s      mean=0.501 LLR=-0.96 [CONTINUE]
 954 games  +115 =725 -114   +0 Elo +/- 11   8899s      mean=0.501 LLR=-0.96 [CONTINUE]
 955 games  +115 =726 -114   +0 Elo +/- 11   8903s      mean=0.501 LLR=-0.96 [CONTINUE]
 956 games  +116 =726 -114   +1 Elo +/- 11   8921s      mean=0.501 LLR=-0.86 [CONTINUE]
 957 games  +116 =726 -115   +0 Elo +/- 11   8932s      mean=0.501 LLR=-0.96 [CONTINUE]
 958 games  +116 =727 -115   +0 Elo +/- 11   8933s      mean=0.501 LLR=-0.96 [CONTINUE]
 959 games  +116 =728 -115   +0 Elo +/- 11   8944s      mean=0.501 LLR=-0.96 [CONTINUE]
 960 games  +116 =729 -115   +0 Elo +/- 11   8958s      mean=0.501 LLR=-0.96 [CONTINUE]
 961 games  +116 =730 -115   +0 Elo +/- 11   8959s      mean=0.501 LLR=-0.96 [CONTINUE]
 962 games  +116 =731 -115   +0 Elo +/- 11   8969s      mean=0.501 LLR=-0.97 [CONTINUE]
 963 games  +116 =732 -115   +0 Elo +/- 11   8986s      mean=0.501 LLR=-0.97 [CONTINUE]
 964 games  +116 =732 -116   -0 Elo +/- 11   8993s      mean=0.500 LLR=-1.06 [CONTINUE]
 965 games  +116 =733 -116   -0 Elo +/- 11   8994s      mean=0.500 LLR=-1.06 [CONTINUE]
 966 games  +116 =734 -116   -0 Elo +/- 11   9014s      mean=0.500 LLR=-1.07 [CONTINUE]
 967 games  +116 =735 -116   -0 Elo +/- 11   9019s      mean=0.500 LLR=-1.07 [CONTINUE]
 968 games  +116 =736 -116   -0 Elo +/- 11   9020s      mean=0.500 LLR=-1.07 [CONTINUE]
 969 games  +116 =737 -116   -0 Elo +/- 11   9037s      mean=0.500 LLR=-1.07 [CONTINUE]
 970 games  +116 =738 -116   -0 Elo +/- 11   9046s      mean=0.500 LLR=-1.07 [CONTINUE]
 971 games  +116 =739 -116   -0 Elo +/- 11   9047s      mean=0.500 LLR=-1.08 [CONTINUE]
 972 games  +116 =740 -116   -0 Elo +/- 11   9064s      mean=0.500 LLR=-1.08 [CONTINUE]
 973 games  +116 =741 -116   -0 Elo +/- 11   9074s      mean=0.500 LLR=-1.08 [CONTINUE]
 974 games  +117 =741 -116   +0 Elo +/- 11   9075s      mean=0.501 LLR=-0.98 [CONTINUE]
 975 games  +118 =741 -116   +1 Elo +/- 11   9090s      mean=0.501 LLR=-0.88 [CONTINUE]
 976 games  +118 =742 -116   +1 Elo +/- 11   9103s      mean=0.501 LLR=-0.89 [CONTINUE]
 977 games  +118 =743 -116   +1 Elo +/- 11   9105s      mean=0.501 LLR=-0.89 [CONTINUE]
 978 games  +118 =744 -116   +1 Elo +/- 11   9122s      mean=0.501 LLR=-0.89 [CONTINUE]
 979 games  +118 =745 -116   +1 Elo +/- 11   9135s      mean=0.501 LLR=-0.89 [CONTINUE]
 980 games  +118 =745 -117   +0 Elo +/- 11   9136s      mean=0.501 LLR=-0.99 [CONTINUE]
 981 games  +119 =745 -117   +1 Elo +/- 11   9153s      mean=0.501 LLR=-0.89 [CONTINUE]
 982 games  +119 =746 -117   +1 Elo +/- 11   9165s      mean=0.501 LLR=-0.89 [CONTINUE]
 983 games  +119 =747 -117   +1 Elo +/- 11   9167s      mean=0.501 LLR=-0.89 [CONTINUE]
 984 games  +119 =748 -117   +1 Elo +/- 11   9184s      mean=0.501 LLR=-0.90 [CONTINUE]
 985 games  +119 =749 -117   +1 Elo +/- 11   9188s      mean=0.501 LLR=-0.90 [CONTINUE]
 986 games  +119 =750 -117   +1 Elo +/- 11   9191s      mean=0.501 LLR=-0.90 [CONTINUE]
 987 games  +119 =751 -117   +1 Elo +/- 11   9208s      mean=0.501 LLR=-0.90 [CONTINUE]
 988 games  +119 =752 -117   +1 Elo +/- 11   9215s      mean=0.501 LLR=-0.90 [CONTINUE]
 989 games  +119 =753 -117   +1 Elo +/- 11   9217s      mean=0.501 LLR=-0.91 [CONTINUE]
 990 games  +120 =753 -117   +1 Elo +/- 11   9235s      mean=0.502 LLR=-0.81 [CONTINUE]
 991 games  +121 =753 -117   +1 Elo +/- 11   9247s      mean=0.502 LLR=-0.71 [CONTINUE]
 992 games  +122 =753 -117   +2 Elo +/- 11   9249s      mean=0.503 LLR=-0.61 [CONTINUE]
 993 games  +122 =754 -117   +2 Elo +/- 11   9263s      mean=0.503 LLR=-0.62 [CONTINUE]
 994 games  +122 =755 -117   +2 Elo +/- 11   9274s      mean=0.503 LLR=-0.62 [CONTINUE]
 995 games  +122 =756 -117   +2 Elo +/- 11   9275s      mean=0.503 LLR=-0.62 [CONTINUE]
 996 games  +122 =757 -117   +2 Elo +/- 11   9292s      mean=0.503 LLR=-0.62 [CONTINUE]
 997 games  +122 =758 -117   +2 Elo +/- 11   9302s      mean=0.503 LLR=-0.62 [CONTINUE]
 998 games  +123 =758 -117   +2 Elo +/- 11   9307s      mean=0.503 LLR=-0.53 [CONTINUE]
 999 games  +123 =759 -117   +2 Elo +/- 11   9324s      mean=0.503 LLR=-0.53 [CONTINUE]
1000 games  +123 =760 -117   +2 Elo +/- 11   9328s      mean=0.503 LLR=-0.53 [CONTINUE]
1001 games  +123 =761 -117   +2 Elo +/- 11   9334s      mean=0.503 LLR=-0.53 [CONTINUE]
1002 games  +123 =762 -117   +2 Elo +/- 11   9354s      mean=0.503 LLR=-0.53 [CONTINUE]
1003 games  +124 =762 -117   +2 Elo +/- 11   9358s      mean=0.503 LLR=-0.44 [CONTINUE]
1004 games  +124 =763 -117   +2 Elo +/- 11   9361s      mean=0.503 LLR=-0.44 [CONTINUE]
1005 games  +124 =764 -117   +2 Elo +/- 11   9383s      mean=0.503 LLR=-0.44 [CONTINUE]
1006 games  +124 =764 -118   +2 Elo +/- 11   9383s      mean=0.503 LLR=-0.53 [CONTINUE]
1007 games  +124 =765 -118   +2 Elo +/- 11   9384s      mean=0.503 LLR=-0.54 [CONTINUE]
1008 games  +124 =766 -118   +2 Elo +/- 11   9409s      mean=0.503 LLR=-0.54 [CONTINUE]
